name,fips,code,number,district,district_code,census_2010_white,census_2010_black,census_2010_latino,census_2010_api,census_2010_native,census_2010_other,acs_2015_pct_bachelor_ge25,acs_2015_pct_bachelor_white_ge25,acs_2015_median_hh_income,2016_pres_total,2016_pres_d,2016_pres_r,2016_pres_other,2012_pres_total,2012_pres_d,2012_pres_r,2012_pres_other,2008_pres_total,2008_pres_d,2008_pres_r,2008_pres_other,2016_house_total,2016_house_d,2016_house_r,2016_house_other,2014_house_total,2014_house_d,2014_house_r,2014_house_other,2012_house_d,2012_house_r,2012_house_other,2016_pvi,2012_pvi,2008_pvi,pop_total,pop_white,pop_black,pop_latino,pop_api,pop_native,pop_other,pop_total_ge18,pop_white_ge18,pop_black_ge18,pop_latino_ge18,pop_api_ge18,pop_native_ge18,pop_other_ge18
Alabama,01,AL,1,Alabama 1st,AL-01,68.5,25.6,2.5,1.3,1.1,1,23.9,27.3,"$44,535","303,478","103,364","192,634",,"298,837","111,735","184,786",,"301,556","115,975","183,753",,"215,893",0,"208,083","7,810","152,234","48,278","103,758",198,0,"196,374",,-16.2,-14.3,-15,"682,423","449,539","187,508","19,086","9,296","7,644","9,350","515,948","353,347","132,261","12,904","6,918","5,524","4,994"
Alabama,01,AL,2,Alabama 2nd,AL-02,66.5,27.8,3,1.2,0.5,1,21.4,24.4,"$42,395","285,664","94,299","185,505",,"289,864","105,572","182,287",,"288,807","101,076","186,164",,"276,584","112,089","134,886","29,609","167,952","54,692","113,103",157,"103,092","180,591",,-17.4,-15.3,-18.5,"686,078","438,782","201,723","24,648","7,900","3,072","9,953","522,837","347,855","145,568","15,912","6,059","2,371","5,072"
Alabama,01,AL,3,Alabama 3rd,AL-03,71.5,23.9,2.3,1.1,0.3,0.9,20.8,22.6,"$42,171","288,776","93,300","188,477",,"280,128","103,089","174,465",,"281,951","103,221","176,434",,"287,104","94,549","192,164",391,"156,620","52,816","103,558",246,"98,141","175,306",,-18,-14.8,-16.8,"680,857","473,473","170,355","17,932","7,923","2,117","9,057","523,481","374,072","125,248","11,783","5,992","1,705","4,681"
Alabama,01,AL,4,Alabama 4th,AL-04,86.9,6.5,4.3,0.5,0.7,1,16.1,16.9,"$39,608","290,726","50,722","233,661",,"274,505","65,818","205,423",,"278,483","71,095","204,123",,"239,444",0,"235,925","3,519","134,752",0,"132,831","1,921","69,706","199,071",,-33.3,-27.7,-27.9,"681,487","578,453","46,163","38,837","3,200","5,218","9,616","521,081","452,704","34,104","22,579","2,369","3,870","5,455"
Alabama,01,AL,5,Alabama 5th,AL-05,76.1,16.3,3.9,1.6,0.7,1.4,31.3,32.7,"$51,531","309,937","97,159","200,571",,"297,263","103,598","189,860",,"294,444","107,005","184,225",,"308,326","102,234","205,647",445,"154,974",0,"115,338","39,636","101,772","189,185",,-18.5,-16.7,-16.9,"683,019","506,307","114,887","32,572","11,051","4,753","13,449","523,079","398,175","85,119","20,508","8,381","3,628","7,268"
Alabama,01,AL,6,Alabama 6th,AL-06,80.8,12.5,4.1,1.6,0.3,0.8,35.3,37,"$61,524","329,849","86,116","233,493",,"314,343","77,517","233,566",,"313,838","78,559","232,644",,"329,306","83,709","245,313",284,"178,449","42,291","135,945",213,"88,267","219,262",,-24.2,-27,-28.4,"682,422","537,110","91,612","33,409","10,985","1,830","7,476","517,305","417,809","64,797","21,238","8,052","1,410","3,999"
Alabama,01,AL,7,Alabama 7th,AL-07,35.7,60.2,2.6,0.7,0.2,0.6,19.5,29.1,"$33,928","293,231","204,586","83,915",,"315,244","228,276","85,488",,"315,625","225,642","88,803",,"233,028","229,330",0,"3,698","135,899","133,687",0,"2,212","232,520","73,835",,19.8,20.8,18.1,"683,450","220,738","432,189","19,118","4,558","1,273","5,574","523,546","186,799","315,181","13,412","3,872","1,042","3,240"
Alaska,02,AK,AL,Alaska At-Large,AK-AL,68.4,3.1,4.7,6.2,13.2,4.5,29.7,36.6,"$73,355","318,608","116,454","163,387",,"297,625","122,640","164,676",,"324,467","123,594","193,841",,"308,198","111,019","155,088","42,091","279,725","114,596","142,566","22,563","82,927","185,296",,-9.5,-9.3,-14.8,"708,570","454,831","21,862","39,038","44,357","102,124","46,358","521,588","356,564","16,051","24,290","32,158","69,054","23,471"
Arizona,04,AZ,1,Arizona 1st,AZ-01,56.2,2.1,18.1,1.8,20.5,1.3,23.2,33.2,"$48,892","284,973","132,874","135,928",,"260,056","124,550","131,115",,"257,294","123,079","131,208",,"280,710","142,219","121,745","16,746","185,114","97,391","87,723",0,"122,774","113,594",,-1.7,-3.2,-5.3,"710,224","361,485","14,687","147,846","11,190","162,087","12,929","522,309","293,758","11,113","94,295","9,180","107,182","6,781"
Arizona,04,AZ,2,Arizona 2nd,AZ-02,69.2,3.5,21.7,3,0.9,1.7,33,38.8,"$48,095","315,839","156,676","141,196",,"299,691","144,966","149,651",,"308,531","150,877","153,747",,"315,679","135,873","179,806",0,"219,351","109,543","109,704",104,"147,338","144,884",,1.5,-2.8,-4.2,"710,224","457,249","25,861","183,537","20,664","6,472","16,441","558,252","386,563","19,389","121,379","16,686","4,899","9,336"
